State,Site,Station,Frequency (MHz)
TERENGGANU,Kuala Terengganu (Bukit Jerung),Gegar,106.8
TERENGGANU,Kuala Terengganu (Bukit Jerung),Hitz,94.8
TERENGGANU,Kuala Terengganu (Bukit Jerung),Hot Fm,105
TERENGGANU,Kuala Terengganu (Bukit Jerung),Ikimfm,100.2
TERENGGANU,Kuala Terengganu (Bukit Jerung),Lite,105.9
TERENGGANU,Kuala Terengganu (Bukit Jerung),My,101.2
TERENGGANU,Kuala Terengganu (Bukit Jerung),Manis Fm,102
TERENGGANU,Kuala Terengganu (Bukit Jerung),Melody,104
TERENGGANU,Kuala Terengganu (Bukit Jerung),Mix,98.3
TERENGGANU,Kuala Terengganu (Bukit Jerung),Molek Fm,93.6
TERENGGANU,Kuala Terengganu (Bukit Jerung),Sinar,97.5
TERENGGANU,Kuala Terengganu (Bukit Jerung),Suria,102.4
